TeamID,Key,School,Name,Conference
401,MGS,Middle Georgia State,Knights,
402,CALTECH,Cal Tech,Beavers,
403,HHILO,Hawaii Hilo,Vulcans,
404,WILCAR,William Carey,Crusaders,
405,PINE,Pine Manor,Gators,
406,STEDWA,St. Edwards,Hilltoppers,
407,TRINB,Trinity Baptist,Eagles,
408,EWUN,East-West,Phantoms,
409,SDCHR,San Diego Christian,Hawks,
410,HTILLO,Huston-Tillotson,Rams,
411,WMT,Montana-Western,Bulldogs,
412,BETH,Bethesda,Lion Angels,
413,ALBI,Albion,Britons,
414,WILB,Wilberforce,Bulldogs,
415,RUST,Rust College,Bearcats,
416,HARTWI,Hartwick,Hawks,
417,REGEN,Regent,Royals,
418,CLU,Cal Lutheran,Kingsmen,
419,PORTBI,Portland Bible,Arrows,
420,REIN,Reinhardt,Eagles,
421,CAIR,Cairn,Highlanders,
422,CIDAH,College of Idaho,Coyotes,
423,FONT,Fontbonne,Griffins,
424,TRINTX,Trinity (TX),Tigers,
425,CENT,Centenary,Gentlemen,
426,MRCD,California Merced,Bobcats,
427,LEMYN,Le Moyne,Dolphins,Northeast
428,JANDW,Johnson & Wales (NC),Wildcats,
429,CSSM,Cal State San Marcos,Cougars,
430,LOYOLO,Loyola (LA),Wolfpack,
431,TXPB,Texas-Permian Basin,Falcons,
432,BOB,Bob Jones,Bruins,
433,FVST,Fort Valley State,Wildcats,
434,WARWIL,Warren Wilson,Owls,
435,KYCH,Kentucky Christian,Knights,
436,KOKO,Indiana-Kokomo,Cougars,
437,VOORHE,Voorhees College,Tigers,
440,FRSTBG,Frostburg State,Bobcats,
441,UMFK,Maine-Fort Kent,Bengals,
442,SCHREI,Schreiner,Mountaineers,
443,TRUST,Truman State,Bulldogs,
444,CENST,Central State,Marauders,
445,DUB,Dubuque,Spartans,
446,HSST,Harris-Stowe,Hornets,
447,MIDAMC,Mid-America Christian,Evangels,
448,CONCAU,Concordia (TX),Tornados,
449,CARV,Carver College,Cougars,
450,CHRIS,Christendom College,Crusaders,
451,WSS,Winston-Salem State,Rams,
452,GLEN,Glenville State,Pioneers,
453,TIFFIN,Tiffin,Dragons,
454,BLOM,Bloomsburg,Huskies,
455,BPARK,Brewton-Parker College,Barons,
456,HIWA,Hiwassee College,Tigers,
457,MOSCT,Missouri Science & Technology,Miners,
458,BENE,Benedictine Mesa,Redhawks,
459,FLCOL,Florida College,Falcons,
460,LIFE,Life Pacific,Warriors,
461,MILE,Miles,Golden Bears,
462,AVC,Averett,Cougars,
463,HNAMES,Holy Names,Hawks,
464,MILLIG,Milligan,Buffaloes,
465,NCWESL,North Carolina Wesleyan,Battling Bishops,
466,ROCHEL,College of New Rochelle,Blue Angels,
467,WJU,William Jessup,Warriors,
468,MOBILE,Mobile,Rams,
469,FLMEM,Florida Memorial,Lions,
470,SPHIL,Spring Hill,Badgers,
471,HOWP,Howard Payne,Yellow Jackets,
472,BRESC,Brescia,Bearcats,
473,WILBAP,Williams Baptist,Eagles,
474,FISK,Fisk,Bulldogs,
475,WAWA,Walla Walla,Wolves,
476,COVENA,Covenant,Scots,
477,TRUE,Truett-McConnell,Bears,
478,LACOLL,Louisiana College,Wildcats,
479,SONO,Sonoma State,Seawolves,
480,NWCOLL,Northwest,Eagles,
481,NDOH,Notre Dame College of Ohio,Falcons,
482,BREC,Brevard College,Tornados,
483,STFR,St. Francis (IL),Fighting Saints,
484,TRIFL,Trinity (FL),Tigers,
485,STMAMD,St. Mary's (MD),Seahawks,
486,WILMDE,Wilmington (DE),Wildcats,
487,CSDH,Cal State-Dominguez Hills,Toros,
488,PIEDMO,Piedmont,Lions,
489,CWA,Central Washington,Wildcats,
490,MYVLST,Mayville State,Comets,
491,JWCO,Johnson & Wales (CO),Wildcats,
492,INNW,Indiana-Northwest,Red Hawks,
493,COE,Coe,Kohawks,
494,NLAND,Northland,LumberJacks,
495,HOOD,Hood,Blazers,
496,PEACE,William Peace,Pacers,
497,MILLSA,Millsaps,Majors,
499,MEMAC,Maine-Machias,Clippers,
500,SECOL,Southeastern,Fire,
501,NWOHIO,Northwestern Ohio,Racers,
502,FRANU,Franciscan,Barons,
503,CDRVL,Cedarville,Yellow Jackets,
504,GCSU,Georgia College & State,Bobcats,
505,STLEO,St. Leo,Lions,
506,WILEY,Wiley,Wildcats,
507,LYON,Lyon,Scots,
508,BTHKS,Bethany (KS),Swedes,
509,WILUTH,Wisconsin Lutheran,Warriors,
510,SOUT,Southwest,Mustangs,
511,CPENN,Central Pennsylvania College,Knights,
512,HNTGDN,Huntingdon,Hawks,
513,UWS,Wisconsin-Stout,Blue Devils,
514,BELLE,Bellevue,Bruins,
515,WILSON,Wilson,Phoenix,
516,FIND,Findlay,Oilers,
517,ILBE,Benedictine,Eagles,
518,ROSEM,Rosemont College,Ravens,
519,KEISR,Keiser,Seahawks,
520,BRYAN,Bryan College,Lions,
521,IUSB,IU-South Bend,Titans,
522,CMELL,Carnegie Mellon,Tartans,
523,WWU,William Woods,Owls,
605,ROCHMI,Rochester (MI),Warriors,
606,MARS,Mars Hill,Lions,
607,CONCMI,Concordia (MI),Cardinals,
608,NEWB,Newbury,Nighthawks,
609,CCNY,City College of New York,Beavers,
610,MIT,MIT,Engineers,
611,EMENNO,Eastern Mennonite,Royals,
612,RIVI,Rivier,Raiders,
613,DAVELK,Davis & Elkins,Senators,
614,LRHY,Lenoir-Rhyne,Bears,
615,WASHMD,Washington College,Shoremen,
616,MID-,Mid-Atlantic Christian,Mustangs,
617,RAND,Randolph College,Wildcats,
618,WILM,Wilmington (OH),Fightin' Quakers,
619,FERRUM,Ferrum,Panthers,
620,LEESMC,Lees-McRae,Bobcats,
621,ETXBAP,East Texas Baptist,Tigers,
622,TXWESL,Texas Wesleyan,Rams,
623,OAKLCT,Oakland City,Mighty Oaks,
624,WEST,Westcliff,Warriors,
625,ANGL,Angelo State,Rams,
626,RCKFRD,Rockford,Regents,
627,BEMI,Bemidji State,Beavers,
628,UTXT,Texas-Tyler,Patriots,
629,CONCIL,Concordia-Chicago,Cougars,
630,UNIV,University of the Virgin Islands,Buccaneers,
631,USOUTH,Sewanee,Tigers,
632,KENN,Columbia International,Rams,
633,WSTMUT,Westminster (UT),Griffins,
634,CUMBER,Cumberland,Phoenix,
635,UAA,Alaska-Anchorage,Seawolves,
636,MULT,Multnomah,Lions,
637,WEBBER,Webber International,Warriors,
638,FLTECH,Florida Tech,Panthers,
639,COLU,Washington Adventist,Shock,
640,MEVERS,Medgar Evers,Cougars,
641,FLCHR,Johnson (FL),Suns,
642,UWPA,Wisconsin-Parkside,Rangers,
643,OGLE,Oglethorpe,Stormy Petrels,
644,COLCHR,Colorado Christian,Cougars,
645,MENLO,Menlo,Oaks,
646,SUNY,SUNY-Canton,Roos,
647,STANDR,St. Andrews Presbyterian,Knights,
648,EARL,Earlham,Quakers,
649,SEOKST,Southeastern Oklahoma State,Savage Storm,
650,SWAG,Southwestern Assemblies of God,Lions,
651,BVU,Buena Vista,Beavers,
652,HNDRX,Hendrix College,Warriors,
653,SWUNIV,Southwestern,Pirates,
654,UPS,Puget Sound,Loggers,
655,ANTE,Antelope Valley,Pioneers,
656,DES,DeSales,Bulldogs,
657,JWFL,Johnson & Wales (FL),Wildcats,
658,BLUMT,Blue Mountain College,Toppers,
660,OLLU,Our Lady of the Lake,Saints,
661,JARVCH,Jarvis Christian,Bulldogs,
662,COCOL,Colorado College,Tigers,
663,SIMP,Simpson,Red Hawks,
665,TUSK,Tuskegee,Golden Tigers,
666,SHEN,Shenandoah,Hornets,
667,NOPA,North Park,Vikings,
668,CLAR,Clarion,Golden Eagles,
669,EMER,Emerson,Lions,
670,GOUC,Goucher,Gophers,
671,GOSH,Goshen,Maple Leafs,
672,WESLEY,Wesley College,Wolverines,
673,WAB,Wabash,Little Giants,
674,CCAR,LaGrange,Panthers,
675,PRES,Presentation,Saints,
676,MSV,Mount Saint Vincent,Dolphins,
677,BRIDVA,Bridgewater (VA),Eagles,
678,MIDW,Midway,Eagles,
679,WELC,Welch,Flames,
680,HEIDEL,Heidelberg,Student Princes,
681,MISE,Misericordia,Cougars,
682,QNCY,Quincy,Hawks,
683,WNE,Western New England,Golden Bears,
684,PENS,Pensacola Christian College,Eagles,
685,UOZA,University of the Ozarks,Eagles,
686,TXLUT,Texas Lutheran,Bulldogs,
687,MTTECH,Montana Tech,Orediggers,
688,MOBAPT,Missouri Baptist,Spartans,
689,URBANA,Urbana,Blue Knights,
690,ELMS,Elms College,Blazers,
691,CHES,Chestnut Hill,Griffins,
692,SHWN,Shawnee State,Bears,
693,CRTLND,SUNY-Cortland,Red Dragons,
694,PFEIFR,Pfeiffer,Falcons,
695,MANC,Manchester,Spartans,
696,HARDIN,Harding,Bison,
697,TRENAZ,Trevecca Nazarene,Trojans,
698,CSST,Cal State-Stanislaus,Warriors,
699,NAZA,Nazareth College,Golden Flyers,
700,BRYN,Bryn Athyn,Lions,
701,QNS,Queens College,Knights,
702,MCKEND,McKendree,Bearcats,
703,EWATER,Edward Waters,Tigers,
704,LYND,Vermont State-Lyndon,Hornets,
705,KEAN,Kean,Cougars,
706,MTAL,Mount Aloysius,Mounties,
707,BSC,Birmingham-Southern,Panthers,
708,DU,Dominican (IL),Stars,
709,BOYC,Boyce,Bulldogs,
710,KYWE,Kentucky Wesleyan,Panthers,
